2018-02-08,,,,0.20899999999999963,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.2920000000000016,0.0,0.40800000000000125,0.43299999999999983,,,1.625,,,,
2018-02-09,,,,0.16800000000000015,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.7079999999999984,0.0,0.7919999999999998,0.5670000000000002,,,3.375,,,,
2018-02-10,,,,0.11000000000000032,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-11,,,,0.07299999999999951,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-12,,,,0.0990000000000002,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-13,,,,0.07500000000000018,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.125,,,,
2018-02-14,,,,0.08999999999999986,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,6.5,,,,
2018-02-15,,,,0.06299999999999972,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.7920000000000016,0.0,0.7080000000000002,0.0,,,6.875,,,,
2018-02-16,,,,0.04400000000000048,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.2079999999999984,0.0,0.2919999999999998,0.0,,,1.5,,,,
2018-02-17,,,,0.09799999999999986,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,8.542000000000002,0.0,2.548,6.808,,,18.833,,,,
2018-02-18,,,,0.11500000000000021,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3.4579999999999984,0.0,1.652000000000001,2.992000000000001,,,6.167000000000002,,,,
